./nitro cores:1:  cycle:323  throughoutput 5551737
./nitro cores:2:  cycle:383  throughoutput 9361958
./nitro cores:3:  cycle:573  throughoutput 9382569
./nitro cores:4:  cycle:787  throughoutput 9120390
./nitro cores:5:  cycle:957  throughoutput 9378096
./nitro cores:6:  cycle:1146  throughoutput 9393317
./nitro cores:7:  cycle:1408  throughoutput 8987060
./nitro cores:8:  cycle:3569  throughoutput 4388659
./nitro cores:9:  cycle:1720  throughoutput 9393019
./nitro cores:10:  cycle:1911  throughoutput 9393878
./um cores:1:  cycle:407  throughoutput 4410734
./um cores:2:  cycle:543  throughoutput 6803649
./um cores:3:  cycle:604  throughoutput 8911517
./um cores:4:  cycle:765  throughoutput 9385319
./um cores:5:  cycle:955  throughoutput 9392565
./um cores:6:  cycle:1146  throughoutput 9392083
./um cores:7:  cycle:1337  throughoutput 9393783
./um cores:8:  cycle:1529  throughoutput 9393855
./um cores:9:  cycle:1720  throughoutput 9393698
./um cores:10:  cycle:1911  throughoutput 9393676
./skv2 cores:1:  cycle:841  throughoutput 2134022
./skv2 cores:2:  cycle:907  throughoutput 3975298
./skv2 cores:3:  cycle:983  throughoutput 5498374
./skv2 cores:4:  cycle:1021  throughoutput 7068560
./skv2 cores:5:  cycle:1130  throughoutput 7978117
./skv2 cores:6:  cycle:1309  throughoutput 8260151
./skv2 cores:7:  cycle:1505  throughoutput 8388154
./skv2 cores:8:  cycle:1710  throughoutput 8442423
./skv2 cores:9:  cycle:1903  throughoutput 8545877
./skv2 cores:10:  cycle:2100  throughoutput 8610989
./es cores:1:  cycle:330  throughoutput 5437206
./es cores:2:  cycle:382  throughoutput 9370699
./es cores:3:  cycle:573  throughoutput 9380148
./es cores:4:  cycle:765  throughoutput 9385822
./es cores:5:  cycle:956  throughoutput 9388407
./es cores:6:  cycle:1146  throughoutput 9390221
./es cores:7:  cycle:1338  throughoutput 9391084
./es cores:8:  cycle:1529  throughoutput 9391586
./es cores:9:  cycle:1720  throughoutput 9391862
./es cores:10:  cycle:1911  throughoutput 9392214
./fr cores:1:  cycle:350  throughoutput 5128519
./fr cores:2:  cycle:383  throughoutput 9350178
./fr cores:3:  cycle:574  throughoutput 9371360
./fr cores:4:  cycle:764  throughoutput 9387786
./fr cores:5:  cycle:956  throughoutput 9389369
./fr cores:6:  cycle:1147  throughoutput 9391342
./fr cores:7:  cycle:1338  throughoutput 9391603
./fr cores:8:  cycle:1529  throughoutput 9391811
./fr cores:10:  cycle:1911  throughoutput 9392062
./cbf cores:1:  cycle:282  throughoutput 6367371
./cbf cores:2:  cycle:399  throughoutput 9003743
./cbf cores:3:  cycle:573  throughoutput 9388526
./cbf cores:4:  cycle:764  throughoutput 9392929
./cbf cores:5:  cycle:955  throughoutput 9393593
./cbf cores:6:  cycle:1146  throughoutput 9393621
./cbf cores:7:  cycle:1337  throughoutput 9393724
./cbf cores:8:  cycle:1528  throughoutput 9393802
./cbf cores:9:  cycle:1720  throughoutput 9393955
./cbf cores:10:  cycle:1911  throughoutput 9393848
./cm cores:1:  cycle:329  throughoutput 5443037
./cm cores:2:  cycle:510  throughoutput 7174938
./cm cores:3:  cycle:575  throughoutput 9365884
./cm cores:4:  cycle:764  throughoutput 9389600
./cm cores:5:  cycle:955  throughoutput 9393217
./cm cores:6:  cycle:1146  throughoutput 9393423
./cm cores:7:  cycle:1337  throughoutput 9393375
./cm cores:8:  cycle:1528  throughoutput 9393661
./cm cores:9:  cycle:1720  throughoutput 9393756
./cm cores:10:  cycle:1911  throughoutput 9393676
./cs cores:1:  cycle:322  throughoutput 5561248
./cs cores:2:  cycle:427  throughoutput 8477361
./cs cores:3:  cycle:574  throughoutput 9378705
./cs cores:4:  cycle:764  throughoutput 9387956
./cs cores:5:  cycle:955  throughoutput 9390962
./cs cores:6:  cycle:1147  throughoutput 9391930
./cs cores:7:  cycle:1338  throughoutput 9391871
./cs cores:8:  cycle:1529  throughoutput 9392159
./cs cores:9:  cycle:1720  throughoutput 9392771
./cs cores:10:  cycle:1911  throughoutput 9392712
