./nitro cores:1:  cycle:332  throughoutput 5394474
./nitro cores:2:  cycle:361  throughoutput 10236025
./nitro cores:3:  cycle:534  throughoutput 10611158
./nitro cores:4:  cycle:730  throughoutput 9899245
./nitro cores:5:  cycle:903  throughoutput 10364893
./nitro cores:6:  cycle:1153  throughoutput 9377138
./nitro cores:7:  cycle:1371  throughoutput 9446675
./nitro cores:8:  cycle:1355  throughoutput 10599593
./nitro cores:9:  cycle:1548  throughoutput 10440412
./nitro cores:10:  cycle:1746  throughoutput 10281730
./um cores:1:  cycle:405  throughoutput 4432535
./um cores:2:  cycle:532  throughoutput 6953743
./um cores:3:  cycle:591  throughoutput 9189967
./um cores:4:  cycle:601  throughoutput 12185603
./um cores:5:  cycle:628  throughoutput 14434256
./um cores:6:  cycle:627  throughoutput 17439807
./um cores:7:  cycle:657  throughoutput 19346971
./um cores:8:  cycle:669  throughoutput 21784829
./um cores:9:  cycle:702  throughoutput 23397981
./um cores:10: cycle:741 throughoutput 24835576
./skv2 cores:1:  cycle:822  throughoutput 2182454
./skv2 cores:2:  cycle:922  throughoutput 3912341
./skv2 cores:3:  cycle:1009  throughoutput 5378745
./skv2 cores:4:  cycle:1000  throughoutput 7232953
./skv2 cores:5:  cycle:1036  throughoutput 8725287
./skv2 cores:6:  cycle:1074  throughoutput 10122648
./skv2 cores:7:  cycle:1109  throughoutput 11454141
./skv2 cores:8:  cycle:1119  throughoutput 12995500
./skv2 cores:9:  cycle:1209  throughoutput 13584825
./skv2 cores:10:  cycle:1260  throughoutput 14487921
./es cores:1:  cycle:324  throughoutput 5534255
./es cores:2:  cycle:260  throughoutput 14625508
./es cores:3:  cycle:294  throughoutput 19555495
./es cores:4:  cycle:280  throughoutput 27085909
./es cores:5:  cycle:317  throughoutput 28806114
./es cores:6:  cycle:341  throughoutput 31673234
./es cores:7:  cycle:374  throughoutput 33496712
./es cores:8:  cycle:425  throughoutput 33733846
./es cores:9:  cycle:478  throughoutput 33730448
./es cores:10:  cycle:531  throughoutput 33745108
./fr cores:1:  cycle:351  throughoutput 5111421
./fr cores:2:  cycle:288  throughoutput 13159338
./fr cores:3:  cycle:319  throughoutput 17741817
./fr cores:4:  cycle:303  throughoutput 25171843
./fr cores:5:  cycle:336  throughoutput 27523189
./fr cores:6:  cycle:353  throughoutput 30747745
./fr cores:7:  cycle:390  throughoutput 32170569
./fr cores:8:  cycle:426  throughoutput 33666821
./fr cores:9:  cycle:478  throughoutput 33722979
./fr cores:10:  cycle:532  throughoutput 33731962
./cbf cores:1:  cycle:283  throughoutput 6333486
./cbf cores:2:  cycle:345  throughoutput 11141329
./cbf cores:3:  cycle:378  throughoutput 14591000
./cbf cores:4:  cycle:384  throughoutput 19748570
./cbf cores:5:  cycle:400  throughoutput 23158667
./cbf cores:6:  cycle:404  throughoutput 27860337
./cbf cores:7:  cycle:434  throughoutput 29360151
./cbf cores:8:  cycle:459  throughoutput 31387493
./cbf cores:9:  cycle:489  throughoutput 32979069
./cbf cores:10:  cycle:531  throughoutput 33770089
./cm cores:1:  cycle:330  throughoutput 5426868
./cm cores:2:  cycle:500  throughoutput 7329641
./cm cores:3:  cycle:549  throughoutput 9826726
./cm cores:4:  cycle:571  throughoutput 12661944
./cm cores:5:  cycle:590  throughoutput 15228855
./cm cores:6:  cycle:592  throughoutput 18267955
./cm cores:7:  cycle:604  throughoutput 20815719
./cm cores:8:  cycle:613  throughoutput 23505323
./cm cores:9:  cycle:642  throughoutput 25259952
./cm cores:10:  cycle:654  throughoutput 27522291
./cs cores:1:  cycle:320  throughoutput 5596822
./cs cores:2:  cycle:399  throughoutput 9287527
./cs cores:3:  cycle:441  throughoutput 12238531
./cs cores:4:  cycle:453  throughoutput 16073942
./cs cores:5:  cycle:469  throughoutput 19178115
./cs cores:6:  cycle:476  throughoutput 22848074
./cs cores:7:  cycle:495  throughoutput 25539702
./cs cores:8:  cycle:498  throughoutput 29126397
./cs cores:9:  cycle:528  throughoutput 30776671
./cs cores:10:  cycle:551  throughoutput 32553517




./fr cores:1:  cycle:347  throughoutput 5160658
./fr cores:2:  cycle:284  throughoutput 13340886
./fr cores:3:  cycle:320  throughoutput 17692607
./fr cores:4:  cycle:302  throughoutput 25116064
./fr cores:5:  cycle:336  throughoutput 27467280
./fr cores:6:  cycle:359  throughoutput 30330995
./fr cores:7:  cycle:399  throughoutput 31522642
./fr cores:8:  cycle:428  throughoutput 33527128

./um cores:1:  cycle:407  throughoutput 4410669
./um cores:2:  cycle:534  throughoutput 6949288
./um cores:3:  cycle:590  throughoutput 9191178
./um cores:4:  cycle:607  throughoutput 12106983
./um cores:5:  cycle:629  throughoutput 14408509
./um cores:6:  cycle:639  throughoutput 17151674
./um cores:7:  cycle:672  throughoutput 18962880
./um cores:8:  cycle:663  throughoutput 22083506
./um cores:9:  cycle:694  throughoutput 23696264
./um cores:10:  cycle:711  throughoutput 25535162
