./nitro cores:1:  cycle:325  throughoutput 5512717
./nitro cores:2:  cycle:367  throughoutput 10099166
./nitro cores:3:  cycle:523  throughoutput 10610781
./nitro cores:4:  cycle:738  throughoutput 9728048
./nitro cores:5:  cycle:963  throughoutput 9527933
./nitro cores:6:  cycle:1135  throughoutput 9509332
./nitro cores:7:  cycle:1290  throughoutput 9786501
./nitro cores:8:  cycle:4900  throughoutput 3238927
./nitro cores:9:  cycle:1630  throughoutput 9964489
./nitro cores:10:  cycle:1764  throughoutput 10177623
./um cores:1:  cycle:413  throughoutput 4338906
./um cores:2:  cycle:545  throughoutput 6796977
./um cores:3:  cycle:607  throughoutput 8939175
./um cores:4:  cycle:618  throughoutput 11820036
./um cores:5:  cycle:646  throughoutput 14031815
./um cores:6:  cycle:650  throughoutput 16841235
./um cores:7:  cycle:675  throughoutput 18828102
./um cores:8:  cycle:692  throughoutput 20981669
./um cores:9:  cycle:742  throughoutput 21847024
./um cores:10:  cycle:779  throughoutput 23044550
./skv2 cores:1:  cycle:856  throughoutput 2097270
./skv2 cores:2:  cycle:932  throughoutput 3859097
./skv2 cores:3:  cycle:984  throughoutput 5497047
./skv2 cores:4:  cycle:1034  throughoutput 6971999
./skv2 cores:5:  cycle:1065  throughoutput 8471955
./skv2 cores:6:  cycle:1089  throughoutput 9949366
./skv2 cores:7:  cycle:1133  throughoutput 11177079
./skv2 cores:8:  cycle:1191  throughoutput 12169066
./skv2 cores:9:  cycle:1239  throughoutput 13224287
./skv2 cores:10:  cycle:1302  throughoutput 13990686
./es cores:1:  cycle:332  throughoutput 5399058
./es cores:2:  cycle:272  throughoutput 13981816
./es cores:3:  cycle:314  throughoutput 17803735
./es cores:4:  cycle:333  throughoutput 21653421
./es cores:5:  cycle:382  throughoutput 23421301
./es cores:6:  cycle:458  throughoutput 23475977
./es cores:7:  cycle:535  throughoutput 23479217
./es cores:8:  cycle:611  throughoutput 23483855
./es cores:1:  cycle:332  throughoutput 5405252
./es cores:2:  cycle:272  throughoutput 14026410
./es cores:3:  cycle:311  throughoutput 17938132
./es cores:4:  cycle:331  throughoutput 21737564
./es cores:5:  cycle:382  throughoutput 23429762
./fr cores:1:  cycle:351  throughoutput 5108061
./fr cores:2:  cycle:301  throughoutput 12361148
./fr cores:3:  cycle:334  throughoutput 16972908
./fr cores:4:  cycle:347  throughoutput 20899292
./fr cores:5:  cycle:395  throughoutput 22708345
./fr cores:6:  cycle:459  throughoutput 23437907
./fr cores:7:  cycle:535  throughoutput 23471280
./fr cores:8:  cycle:611  throughoutput 23483350
./fr cores:9:  cycle:687  throughoutput 23488260
./fr cores:10:  cycle:764  throughoutput 23466955
./cbf cores:1:  cycle:285  throughoutput 6297023
./cbf cores:2:  cycle:358  throughoutput 10708089
./cbf cores:3:  cycle:396  throughoutput 13894511
./cbf cores:4:  cycle:398  throughoutput 18965913
./cbf cores:5:  cycle:431  throughoutput 20961146
./cbf cores:6:  cycle:472  throughoutput 22837178
./cbf cores:7:  cycle:534  throughoutput 23493553
./cm cores:1:  cycle:334  throughoutput 5371850
./cm cores:2:  cycle:516  throughoutput 7074729
./cm cores:3:  cycle:562  throughoutput 9593291
./cm cores:4:  cycle:578  throughoutput 12478179
./cm cores:5:  cycle:596  throughoutput 15068084
./cs cores:1:  cycle:326  throughoutput 5496875
./cs cores:2:  cycle:410  throughoutput 9019959
./cs cores:3:  cycle:457  throughoutput 11805132
./cs cores:4:  cycle:468  throughoutput 15527763
./cs cores:5:  cycle:485  throughoutput 18574232
./cs cores:6:  cycle:498  throughoutput 21719126
./cs cores:7:  cycle:536  throughoutput 23433995
./cs cores:8:  cycle:611  throughoutput 23469993
./cs cores:9:  cycle:687  throughoutput 23494667
./cs cores:10:  cycle:763  throughoutput 23496191
./es cores:5:  cycle:458  throughoutput 19572018
./es cores:6:  cycle:534  throughoutput 20132391
./es cores:7:  cycle:611  throughoutput 20544316
./es cores:8:  cycle:686  throughoutput 20918382
./es cores:9:  cycle:763  throughoutput 21149411
./cbf cores:5:  cycle:471  throughoutput 19025272
./cbf cores:6:  cycle:534  throughoutput 20148605
./cbf cores:7:  cycle:610  throughoutput 20562881
./cbf cores:8:  cycle:685  throughoutput 20933412
./cbf cores:9:  cycle:763  throughoutput 21160114
./cm cores:5:  cycle:617  throughoutput 14593553
./cm cores:6:  cycle:619  throughoutput 17396601
./cm cores:7:  cycle:644  throughoutput 19537461
./cm cores:8:  cycle:688  throughoutput 20847544
./cm cores:9:  cycle:763  throughoutput 21159208
